file,category,poc_name,cve_id,protocol,grade,attack_input,execution_path,observable_result,safety_gate,is_recon,missing
pocs/application/25_CVE_2016_8863_LibUPnP_Version_Active_Validation.py,application,检测系统或app是否使用了不安全的libupnp.so库（CVE-2016-8863）...,CVE-2016-8863,upnp,STATIC_OR_METADATA,False,False,False,True,False,"attack_input,execution_path,observable_result"
pocs/application/26_CVE_2016_1897_LibAVFormat_Version_Active_Validation.py,application,检测系统或app是否使用了不安全的libavformat.so库-v1（CVE-2016-1897）...,CVE-2016-1897,http,STATIC_OR_METADATA,False,False,False,True,False,"attack_input,execution_path,observable_result"
pocs/application/27_CVE_2016_1898_LibAVFormat_Secondary_Version_Active_Validation.py,application,检测系统或app是否使用了不安全的libavformat.so库-v2（CVE-2016-1898）...,CVE-2016-1898,http,STATIC_OR_METADATA,False,False,False,True,False,"attack_input,execution_path,observable_result"
pocs/application/28_CVE_2004_0597_LibPNG_Version_Active_Validation.py,application,检测系统或app是否使用了不安全的libpng.so库（CVE-2004-0597）...,CVE-2004-0597,native,STATIC_OR_METADATA,False,False,False,True,False,"attack_input,execution_path,observable_result"
pocs/application/29_CVE_2016_6309_OpenSSL_Version_Active_Validation.py,application,检测系统或app是否使用了不安全的openssl（CVE-2016_6309）...,CVE-2016-6309,tls,STATIC_OR_METADATA,False,False,False,True,False,"attack_input,execution_path,observable_result"
pocs/application/30_CWE_922_Android_SDCard_Access_Active_Validation.py,application,检测设备app是否使用了不安全的外部数据存储...,CWE-922,android,PAYLOAD_NOT_EXECUTED,True,False,True,True,False,execution_path
pocs/application/31_CWE_749_Android_WebView_Java_Bridge_Active_Validation.py,application,检测设备app是否使用了不安全的Webview本地Java接口...,CWE-749,android,STATIC_OR_METADATA,False,False,True,True,False,"attack_input,execution_path"
pocs/application/32_CWE_829_Android_WebView_RCE_Surface_Active_Validation.py,application,检测设备app是否使用了不安全的Webview代码加载接口...,CWE-829,android,STATIC_OR_METADATA,False,False,True,True,False,"attack_input,execution_path"
pocs/application/33_CWE_22_Android_WebView_File_Access_Active_Validation.py,application,检测设备app是否使用了不安全的Webview文件访问接口...,CWE-22,android,STATIC_OR_METADATA,False,False,True,True,False,"attack_input,execution_path"
pocs/application/34_CWE_732_Android_OpenFile_ReadWrite_Active_Validation.py,application,检测设备app是否使用了不安全的文件全局可读写访问接口...,CWE-732,android,STATIC_OR_METADATA,False,False,True,True,False,"attack_input,execution_path"
pocs/application/35_CWE_732_Android_OpenFile_Write_Active_Validation.py,application,检测设备app是否使用了不安全的文件全局可写访问接口...,CWE-732,android,STATIC_OR_METADATA,False,False,True,True,False,"attack_input,execution_path"
pocs/application/36_CWE_732_Android_SharedPrefs_Read_Active_Validation.py,application,检测设备app是否使用了不安全的数据库全局可读访问接口...,CWE-732,android,STATIC_OR_METADATA,False,False,True,True,False,"attack_input,execution_path"
